N,Area,RelativeError
100,1.024,0.0841518
600,0.891733,0.0558845
1100,0.937891,0.00701552
1600,0.96,0.0163923
2100,0.964267,0.0209096
2600,1.00234,0.0612178
3100,0.943071,0.00153117
3600,0.943644,0.000924008
4100,0.934712,0.010381
4600,0.976139,0.0334795
5100,0.940173,0.00459985
5600,0.942629,0.00199956
6100,0.956852,0.0130599
6600,0.956121,0.0122857
7100,0.936383,0.0086119
7600,0.943495,0.00108251
8100,0.922232,0.0235942
8600,0.929935,0.0154389
9100,0.934541,0.0105626
9600,0.9408,0.00393554
10100,0.950495,0.00632902
10600,0.943577,0.000995035
11100,0.953658,0.0096774
11600,0.936386,0.00860861
12100,0.949104,0.00485639
12600,0.933181,0.0120021
13100,0.952281,0.00821979
13600,0.938541,0.00632705
14100,0.946292,0.00187928
14600,0.935101,0.00996892
15100,0.943979,0.000570003
15600,0.97001,0.0269906
16100,0.927801,0.0176979
16600,0.941802,0.00287425
17100,0.935972,0.00904722
17600,0.9552,0.0113103
18100,0.954838,0.0109266
18600,0.951054,0.00692055
19100,0.954572,0.0106452
19600,0.952947,0.00892493
20100,0.954842,0.0109311
20600,0.942353,0.00229089
21100,0.943196,0.00139857
21600,0.937719,0.00719803
22100,0.944883,0.000387576
22600,0.938025,0.00687378
23100,0.940883,0.00384754
23600,0.942536,0.002098
24100,0.926911,0.0186402
24600,0.936065,0.00894864
25100,0.939551,0.00525834
25600,0.943,0.00160631
26100,0.953085,0.00907117
26600,0.934111,0.0110172
27100,0.949373,0.00514073
27600,0.92531,0.0203353
28100,0.939001,0.00584052
28600,0.94899,0.00473578
29100,0.944737,0.000232483
29600,0.948065,0.00375608
30100,0.945414,0.000949445
30600,0.941093,0.00362553
31100,0.931889,0.0133696
31600,0.948739,0.00447007
32100,0.933084,0.0121047
32600,0.932123,0.0131226
33100,0.942095,0.00256397
33600,0.950324,0.00614772
34100,0.942996,0.00161066
34600,0.954081,0.0101255
35100,0.944064,0.00048
35600,0.951587,0.0074846
36100,0.952377,0.00832123
36600,0.945731,0.00128527
37100,0.944923,0.000429558
37600,0.939438,0.00537723
38100,0.955599,0.0117327
38600,0.947001,0.00262976
39100,0.936331,0.00866657
39600,0.950432,0.0062626
40100,0.952818,0.00878837
40600,0.948209,0.00390854
41100,0.9434,0.0011823
41600,0.935446,0.00960388
42100,0.932789,0.0124175
42600,0.942573,0.00205863
43100,0.9374,0.00753575
43600,0.944558,4.29979e-05
